Method,acc
Ours,0.861
Ours,0.81
Ours,0.872
Ours,0.921
Ours,0.835
Ours,0.901
Ours,0.874
Ours,0.878
Ours,0.856
Ours,0.878
Ours,0.969
scGCN,0.8
scGCN,0.529
scGCN,0.736
scGCN,0.812
scGCN,0.831
scGCN,0.709
scGCN,0.833
scGCN,0.797
scGCN,0.745
scGCN,0.723
scGCN,0.914
Seurat_pca,0.853
Seurat_pca,0.8
Seurat_pca,0.882
Seurat_pca,0.847
Seurat_pca,0.802
Seurat_pca,0.882
Seurat_pca,0.785
Seurat_pca,0.802
Seurat_pca,0.865
Seurat_pca,0.87
Seurat_pca,0.928
Seurat_cca,0.8
Seurat_cca,0.8
Seurat_cca,0.863
Seurat_cca,0.801
Seurat_cca,0.766
Seurat_cca,0.863
Seurat_cca,0.817
Seurat_cca,0.76
Seurat_cca,0.834
Seurat_cca,0.852
Seurat_cca,0.954
SingleR,0.76
SingleR,0.838
SingleR,0.796
SingleR,0.663
SingleR,0.551
SingleR,0.796
SingleR,0.654
SingleR,0.608
SingleR,0.724
SingleR,0.684
SingleR,0.969
scmap,0.764
scmap,0.733
scmap,0.745
scmap,0.816
scmap,0.741
scmap,0.745
scmap,0.66
scmap,0.56
scmap,0.585
scmap,0.721
scmap,0.957
CHETAH,0.739
CHETAH,0.388
CHETAH,0.771
CHETAH,0.871
CHETAH,0.775
CHETAH,0.771
CHETAH,0.72
CHETAH,0.64
CHETAH,0.539
CHETAH,0.55
CHETAH,0.875
