"","x"
"1","Dendritic cell"
"2","Dendritic cell"
"3","Dendritic cell"
"4","Dendritic cell"
"5","Dendritic cell"
"6","Dendritic cell"
"7","Dendritic cell"
"8","Dendritic cell"
"9","Dendritic cell"
"10","Dendritic cell"
"11","Dendritic cell"
"12","Dendritic cell"
"13","Dendritic cell"
"14","Dendritic cell"
"15","Dendritic cell"
"16","Dendritic cell"
"17","Dendritic cell"
"18","Dendritic cell"
"19","Dendritic cell"
"20","Dendritic cell"
"21","Dendritic cell"
"22","Dendritic cell"
"23","Dendritic cell"
"24","Dendritic cell"
"25","Dendritic cell"
"26","Dendritic cell"
"27","Dendritic cell"
"28","Dendritic cell"
"29","Dendritic cell"
"30","Dendritic cell"
"31","Dendritic cell"
"32","Dendritic cell"
"33","Dendritic cell"
"34","Dendritic cell"
"35","Dendritic cell"
"36","Dendritic cell"
"37","Dendritic cell"
"38","Dendritic cell"
"39","Dendritic cell"
"40","Dendritic cell"
"41","Dendritic cell"
"42","Dendritic cell"
"43","Dendritic cell"
"44","Dendritic cell"
"45","Dendritic cell"
"46","Dendritic cell"
"47","Dendritic cell"
"48","Dendritic cell"
"49","Dendritic cell"
"50","Dendritic cell"
"51","Dendritic cell"
"52","Dendritic cell"
"53","Dendritic cell"
"54","Dendritic cell"
"55","Dendritic cell"
"56","Dendritic cell"
"57","Dendritic cell"
"58","Dendritic cell"
"59","Dendritic cell"
"60","Dendritic cell"
"61","Dendritic cell"
"62","CD14+ monocyte"
"63","Dendritic cell"
"64","Dendritic cell"
"65","Dendritic cell"
"66","Dendritic cell"
"67","Dendritic cell"
"68","Dendritic cell"
"69","Dendritic cell"
"70","Dendritic cell"
"71","Dendritic cell"
"72","Dendritic cell"
"73","Dendritic cell"
"74","Dendritic cell"
"75","Dendritic cell"
"76","Dendritic cell"
"77","Dendritic cell"
"78","Dendritic cell"
"79","Dendritic cell"
"80","Dendritic cell"
"81","Dendritic cell"
"82","Dendritic cell"
"83","Dendritic cell"
"84","Dendritic cell"
"85","Dendritic cell"
"86","Dendritic cell"
"87","Dendritic cell"
"88","Dendritic cell"
"89","Dendritic cell"
"90","Dendritic cell"
"91","Dendritic cell"
"92","Dendritic cell"
"93","Dendritic cell"
"94","Dendritic cell"
"95","Dendritic cell"
"96","Dendritic cell"
"97","Dendritic cell"
"98","Dendritic cell"
"99","Dendritic cell"
"100","Dendritic cell"
"101","Dendritic cell"
"102","Dendritic cell"
"103","Dendritic cell"
"104","Dendritic cell"
"105","Dendritic cell"
"106","Dendritic cell"
"107","Dendritic cell"
"108","Dendritic cell"
"109","Dendritic cell"
"110","Dendritic cell"
"111","Dendritic cell"
"112","Dendritic cell"
"113","Dendritic cell"
"114","Dendritic cell"
"115","Dendritic cell"
"116","Dendritic cell"
"117","Dendritic cell"
"118","Dendritic cell"
"119","Dendritic cell"
"120","Dendritic cell"
"121","Dendritic cell"
"122","Dendritic cell"
"123","Dendritic cell"
"124","Dendritic cell"
"125","Dendritic cell"
"126","Dendritic cell"
"127","Dendritic cell"
"128","Dendritic cell"
"129","Dendritic cell"
"130","Dendritic cell"
"131","Dendritic cell"
"132","Dendritic cell"
"133","Dendritic cell"
