Ref,Query,Ours,Seurat,CHETAH,scmap,SingleR
cel_seq2,indrop,0.79,0.707,0.242,0.129,0.692
cel_seq2,dropseq,0.824,0.8,0.388,0.364,0.629
seq_well,smart-seq2,0.906,0.858,0.794,0.013,0.258
seq_well,10x_v3,0.922,0.877,0.732,0.501,0.477
10x_v3,cel_seq2,0.842,0.836,0.503,0.781,0.808
10x_v3,smart-seq2,0.817,0.806,0.437,0.791,0.8
dropseq,indrop,0.768,0.747,0.413,0.187,0.48
dropseq,10x_v3,0.903,0.879,0.556,0.662,0.67
indrop,Seq-Well,0.718,0.714,0.457,0.282,0.402
indrop,10x,0.909,0.889,0.804,0.59,0.639
GSE84133,E_MTAB_5061,0.982,0.982,0.936,0.923,0.98
E_MTAB_5061,GSE84133,0.967,0.866,0.53,0.647,0.92
GSE85241,GSE84133,0.971,0.96,0.396,0.455,0.956
GSE81608,GSE84133,0.985,0.98,0.536,0.633,0.981
GSE84133,GSE81608,0.989,0.987,0.984,0.432,0.95
