"","refUMAP_1","refUMAP_2"
"human1_lib1.final_cell_0007",7.84003305435181,-1.16730999946594
"human1_lib1.final_cell_0013",-4.16057300567627,-5.47497034072876
"human1_lib1.final_cell_0014",-4.59401988983154,-5.61156511306763
"human1_lib1.final_cell_0015",7.68287801742554,0.2030388712883
"human1_lib1.final_cell_0016",17.3526706695557,-3.43924617767334
"human1_lib1.final_cell_0017",-4.66445922851562,-5.8986988067627
"human1_lib1.final_cell_0019",3.42911386489868,-13.2376594543457
"human1_lib1.final_cell_0020",-4.33415031433105,-5.47487497329712
"human1_lib1.final_cell_0021",-4.38103246688843,-5.59598636627197
"human1_lib1.final_cell_0022",7.66152763366699,0.284251123666763
"human1_lib1.final_cell_0023",3.83286666870117,-12.9081411361694
"human1_lib1.final_cell_0024",7.81895017623901,0.0282452553510666
"human1_lib1.final_cell_0025",-4.44221782684326,-5.4449725151062
"human1_lib1.final_cell_0026",7.36092853546143,-0.271299093961716
"human1_lib1.final_cell_0027",6.40738296508789,-0.549632370471954
"human1_lib1.final_cell_0030",-4.38884210586548,-5.618980884552
"human1_lib1.final_cell_0031",-3.28857636451721,-4.8526725769043
"human1_lib1.final_cell_0032",-3.71164846420288,-5.23667669296265
"human1_lib1.final_cell_0033",-2.95669603347778,-5.17685890197754
"human1_lib1.final_cell_0034",-2.66216993331909,-5.02268362045288
"human1_lib1.final_cell_0035",7.74013376235962,0.165569543838501
"human1_lib1.final_cell_0037",7.78536224365234,-0.338569611310959
"human1_lib1.final_cell_0038",7.97079181671143,-0.499220848083496
"human1_lib1.final_cell_0039",-4.80003309249878,-6.62178754806519
"human1_lib1.final_cell_0040",6.94212198257446,-0.360148906707764
"human1_lib1.final_cell_0041",17.3450298309326,-3.33863615989685
"human1_lib1.final_cell_0042",7.68866109848022,0.0254338607192039
"human1_lib1.final_cell_0043",-4.12543964385986,-5.32726430892944
"human1_lib1.final_cell_0044",17.2234859466553,-3.48117876052856
"human1_lib1.final_cell_0045",17.351505279541,-3.30365109443665
"human1_lib1.final_cell_0046",17.496114730835,-3.31807255744934
"human1_lib1.final_cell_0048",17.3659553527832,-3.3657751083374
"human1_lib1.final_cell_0049",-2.45617747306824,-5.15920114517212
"human1_lib1.final_cell_0050",-4.5111870765686,-5.48603248596191
"human1_lib1.final_cell_0051",-2.7350070476532,-5.62808561325073
"human1_lib1.final_cell_0052",-4.82758903503418,-6.04334449768066
"human1_lib1.final_cell_0054",7.64438676834106,-0.205690905451775
"human1_lib1.final_cell_0055",-5.04555702209473,-6.38449192047119
"human1_lib1.final_cell_0056",17.2451000213623,-3.45544648170471
"human1_lib1.final_cell_0057",-4.51336812973022,-5.50536394119263
"human1_lib1.final_cell_0058",-4.35939979553223,-5.54447031021118
"human1_lib1.final_cell_0059",7.94189643859863,-0.200820341706276
"human1_lib1.final_cell_0060",-3.55956888198853,-4.93284749984741
"human1_lib1.final_cell_0061",4.0721549987793,-13.1283082962036
"human1_lib1.final_cell_0062",7.87498903274536,-0.59666109085083
"human1_lib1.final_cell_0063",-3.97846150398254,-5.2810525894165
"human1_lib1.final_cell_0064",3.69134068489075,-13.1662836074829
"human1_lib1.final_cell_0065",6.44329786300659,-13.8207492828369
"human1_lib1.final_cell_0067",7.93709516525269,-0.0441195294260979
"human1_lib1.final_cell_0068",8.01141548156738,-0.268464624881744
"human1_lib1.final_cell_0069",-4.20148944854736,-5.35487031936646
"human1_lib1.final_cell_0070",7.70958185195923,0.253931939601898
"human1_lib1.final_cell_0071",5.10208892822266,0.953503787517548
"human1_lib1.final_cell_0072",-4.66678190231323,-5.95419883728027
"human1_lib1.final_cell_0073",-3.84421443939209,-5.10165071487427
"human1_lib1.final_cell_0074",-4.34910821914673,-5.75632095336914
"human1_lib1.final_cell_0075",7.40534257888794,-1.22565054893494
"human1_lib1.final_cell_0076",-4.48319911956787,-5.7929220199585
"human1_lib1.final_cell_0077",-4.04143619537354,-4.95741844177246
"human1_lib1.final_cell_0078",6.36781358718872,-0.126330360770226
"human1_lib1.final_cell_0079",-4.47660064697266,-5.77340793609619
"human1_lib1.final_cell_0080",-4.48612880706787,-5.96329164505005
"human1_lib1.final_cell_0081",7.74972677230835,-0.245918944478035
"human1_lib1.final_cell_0082",-4.43625259399414,-5.37111616134644
"human1_lib1.final_cell_0083",-4.56462812423706,-5.61099147796631
"human1_lib1.final_cell_0085",17.4050884246826,-3.39814329147339
"human1_lib1.final_cell_0086",-4.47951936721802,-5.58061170578003
"human1_lib1.final_cell_0087",-4.39189624786377,-5.48990488052368
"human1_lib1.final_cell_0088",-4.60172128677368,-5.69832420349121
"human1_lib1.final_cell_0089",-4.03043413162231,-4.14684581756592
"human1_lib1.final_cell_0090",7.4636344909668,-0.441359221935272
"human1_lib1.final_cell_0091",7.9903450012207,-0.159159153699875
"human1_lib1.final_cell_0092",7.86727666854858,-0.723740041255951
"human1_lib1.final_cell_0093",-4.42348575592041,-5.5422306060791
"human1_lib1.final_cell_0094",-4.79351758956909,-6.28017711639404
"human1_lib1.final_cell_0095",7.46825790405273,0.23192086815834
"human1_lib1.final_cell_0096",-2.32740163803101,4.21917533874512
"human1_lib1.final_cell_0097",-4.84471225738525,-5.83148241043091
"human1_lib1.final_cell_0098",-3.48314714431763,-5.42051267623901
